Id,Probability,binprob
1,0.080806647,0
2,0.040718741,0
3,0.011968341,0
4,0.067639933,0
5,0.108263859,0
6,0.027519732,0
7,0.04729395,0
8,0.041027039,0
9,0.00422303,0
10,0.37712881,0
11,0.012478593,0
12,0.022617611,0
13,0.008333931,0
14,0.043935965,0
15,0.047308764,0
16,0.024631906,0
17,0.027441388,0
18,0.013997746,0
19,0.222881693,0
20,0.091325029,0
21,0.012180794,0
22,0.009499758,0
23,0.011288653,0
24,0.514438462,1
25,0.085839337,0
26,0.017220625,0
27,0.085247596,0
28,0.008568926,0
29,0.055082258,0
30,0.032466807,0
31,0.047326418,0
32,0.008162568,0
33,0.013434981,0
34,0.055487671,0
35,0.331720175,0
36,0.050096943,0
37,0.032459991,0
38,0.022031783,0
39,0.010961839,0
40,0.073821936,0
41,0.287884333,0
42,0.245160209,0
43,0.076593354,0
44,0.006129752,0
45,0.045576883,0
46,0.004909608,0
47,0.006235339,0
48,0.020647961,0
49,0.01742812,0
50,0.02667599,0
51,0.017151702,0
52,0.024239212,0
53,0.008482681,0
54,0.044724311,0
55,0.017280897,0
56,0.074366364,0
57,0.009776008,0
58,0.178212766,0
59,0.080175127,0
60,0.061570061,0
61,0.030859558,0
62,0.011230419,0
63,0.029222439,0
64,0.008157194,0
65,0.019058966,0
66,0.01452435,0
67,0.012277612,0
68,0.151081983,0
69,0.005728414,0
70,0.653720377,1
71,0.019032413,0
72,0.121704726,0
73,0.007328554,0
74,0.174704384,0
75,0.015734037,0
76,0.043413121,0
77,0.084293499,0
78,0.028663334,0
79,0.041008401,0
80,0.018661901,0
81,0.01602504,0
82,0.019722179,0
83,0.045850402,0
84,0.011839708,0
85,0.018839962,0
86,0.012724313,0
87,0.075973855,0
88,0.013782852,0
89,0.028947297,0
90,0.029213575,0
91,0.077168578,0
92,0.013152974,0
93,0.012285798,0
94,0.015793473,0
95,0.006885334,0
96,0.241597348,0
97,0.025462508,0
98,0.070294751,0
99,0.014292691,0
100,0.019090285,0
101,0.05616512,0
102,0.072471986,0
103,0.007191891,0
104,0.058808121,0
105,0.086554757,0
106,0.022156116,0
107,0.335596417,0
108,0.017955356,0
109,0.00656427,0
110,0.020557379,0
111,0.037893824,0
112,0.025000037,0
113,0.023940023,0
114,0.44122483,0
115,0.096671598,0
116,0.011400188,0
117,0.004915471,0
118,0.081307156,0
119,0.013133488,0
120,0.00729177,0
121,0.007030134,0
122,0.050312876,0
123,0.012895201,0
124,0.545554466,1
125,0.012196881,0
126,0.031859291,0
127,0.010082404,0
128,0.015968269,0
129,0.010547365,0
130,0.042098549,0
131,0.03065558,0
132,0.072623318,0
133,0.015207698,0
134,0.102067698,0
135,0.162120186,0
136,0.008870409,0
137,0.180322786,0
138,0.035705584,0
139,0.008372807,0
140,0.014152684,0
141,0.00487674,0
142,0.0129789,0
143,0.007195812,0
144,0.019060106,0
145,0.31236373,0
146,0.012208984,0
147,0.007954929,0
148,0.113018534,0
149,0.006613179,0
150,0.038905925,0
151,0.004953994,0
152,0.016596703,0
153,0.007244769,0
154,0.011761333,0
155,0.013135498,0
156,0.015859099,0
157,0.062242319,0
158,0.006828061,0
159,0.115281739,0
160,0.019456605,0
161,0.004774996,0
162,0.013014198,0
163,0.013302352,0
164,0.05067716,0
165,0.01178543,0
166,0.018627577,0
167,0.603644444,1
168,0.028335898,0
169,0.182249257,0
170,0.010877284,0
171,0.005903954,0
172,0.014178757,0
173,0.016521613,0
174,0.04270116,0
175,0.01399481,0
176,0.33577098,0
177,0.015279325,0
178,0.091934202,0
179,0.00996045,0
180,0.009930648,0
181,0.053142063,0
182,0.008513427,0
183,0.031499273,0
184,0.016052208,0
185,0.109559206,0
186,0.010307879,0
187,0.010695251,0
188,0.029688926,0
189,0.085581359,0
190,0.024680316,0
191,0.021472605,0
192,0.035231771,0
193,0.018610097,0
194,0.059893893,0
195,0.019240018,0
196,0.035379639,0
197,0.010994793,0
198,0.014978023,0
199,0.009027653,0
200,0.006340587,0
201,0.05923435,0
202,0.032690544,0
203,0.322638404,0
204,0.051448445,0
205,0.056183645,0
206,0.005785579,0
207,0.023592812,0
208,0.005711902,0
209,0.065824825,0
210,0.006658763,0
211,0.114646139,0
212,0.018043047,0
213,0.014078294,0
214,0.012951583,0
215,0.020744523,0
216,0.066124929,0
217,0.010610732,0
218,0.088757132,0
219,0.018651782,0
220,0.00492112,0
221,0.013219807,0
222,0.015396718,0
223,0.01445175,0
224,0.012155979,0
225,0.008563725,0
226,0.072452991,0
227,0.011432132,0
228,0.063680277,0
229,0.074290148,0
230,0.360946339,0
231,0.329485955,0
232,0.011390368,0
